frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"56","Mar 27, 2025 02:33:18.011706000 India Standard Time","172.16.44.224","35.72.108.16","50009","443",,,,,
"57","Mar 27, 2025 02:33:18.017357000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"58","Mar 27, 2025 02:33:18.017357000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"59","Mar 27, 2025 02:33:18.017357000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"60","Mar 27, 2025 02:33:18.017446000 India Standard Time","172.16.44.224","104.22.27.181","50002","443",,,,,
"61","Mar 27, 2025 02:33:18.017898000 India Standard Time","172.16.44.224","35.72.108.16","50009","443",,,,,
"62","Mar 27, 2025 02:33:18.017938000 India Standard Time","172.16.44.224","35.72.108.16","50009","443",,,,,
"63","Mar 27, 2025 02:33:18.019474000 India Standard Time","172.16.44.224","35.72.108.16","50008","443",,,,,
"64","Mar 27, 2025 02:33:18.019509000 India Standard Time","172.16.44.224","35.72.108.16","50008","443",,,,,
"65","Mar 27, 2025 02:33:18.026635000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"66","Mar 27, 2025 02:33:18.026635000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"67","Mar 27, 2025 02:33:18.026635000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"68","Mar 27, 2025 02:33:18.026715000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"69","Mar 27, 2025 02:33:18.026806000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"70","Mar 27, 2025 02:33:18.026806000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"71","Mar 27, 2025 02:33:18.026806000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"72","Mar 27, 2025 02:33:18.026806000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"73","Mar 27, 2025 02:33:18.026806000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"74","Mar 27, 2025 02:33:18.026881000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"75","Mar 27, 2025 02:33:18.026892000 India Standard Time","172.16.44.224","35.72.108.16","50011","443",,,,,
"76","Mar 27, 2025 02:33:18.040468000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"77","Mar 27, 2025 02:33:18.040468000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"78","Mar 27, 2025 02:33:18.040468000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"79","Mar 27, 2025 02:33:18.040468000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"80","Mar 27, 2025 02:33:18.040468000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"81","Mar 27, 2025 02:33:18.040468000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"82","Mar 27, 2025 02:33:18.040468000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"83","Mar 27, 2025 02:33:18.040468000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
"84","Mar 27, 2025 02:33:18.040468000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"85","Mar 27, 2025 02:33:18.040468000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
"86","Mar 27, 2025 02:33:18.040468000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
